Title,Description,Keywords,id,premise,hypothesis,gold_label,predicted_explanation,Answer.acceptable,Answer.ee,Answer.feedback
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_4_gold,"A person, in a striped blue shirt and pants, is running along.",The person is old,neither,A person running is not assumed to be old.,1,4.127,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_4_gold,"A person, in a striped blue shirt and pants, is running along.",The person is old,neither,A person running is not assumed to be old.,1,128.949,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_4_gold,"A person, in a striped blue shirt and pants, is running along.",The person is old,neither,A person running is not assumed to be old.,1,21.312,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_89_gold,A musician playing a guitar while he has the microphone inside his mouth.,The man is in a heavy metal band.,neither,"In a heavy metal band is not the only place a musician can play a guitar with a microphone inside his mouth,",1,16.553,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_89_gold,A musician playing a guitar while he has the microphone inside his mouth.,The man is in a heavy metal band.,neither,"In a heavy metal band is not the only place a musician can play a guitar with a microphone inside his mouth,",1,0.786,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_89_gold,A musician playing a guitar while he has the microphone inside his mouth.,The man is in a heavy metal band.,neither,"In a heavy metal band is not the only place a musician can play a guitar with a microphone inside his mouth,",1,30.545,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_130_gold,"A man with medium length curly hair, wearing a button down shirt and bracelets, sings into a microphone while he plays a guitar.",A person with hair,true,A man is a person.,1,11.574,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_130_gold,"A man with medium length curly hair, wearing a button down shirt and bracelets, sings into a microphone while he plays a guitar.",A person with hair,true,A man is a person.,-1,20.115,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_130_gold,"A man with medium length curly hair, wearing a button down shirt and bracelets, sings into a microphone while he plays a guitar.",A person with hair,true,A man is a person.,-1,10.332,{}
Rate your opinion of the quality of explanations.,"This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read an explanation for the label and answer questions rating its quality.","natural language inference, explanations, AI, reading, interpretation",esnli_train_113_gold,A young boy is taking American flags to place them where they will remind others of the sacrifices made by veterans.,A young boy is honoring fallen veterans.,true,A boy is honoring fallen veterans and reminding others of the sacrifices they made by placing American flags.,1,54.255,{}
